Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
246,Henry Ward\wardhe01,SG,25,SAS,27,171,10.3,0.426,,0.18899999999999997,6.1,13.7,9.9,4.7,1.5,1.4,,,-0.2,0.1,-0.1,-0.023,-5.8,-3.8,-9.5,-0.3,East
247,Dave Wohl\wohlda01,PG,27,TOT,51,986,10.3,0.445,,0.307,1.6,7.0,4.2,21.3,1.8,0.3,,,-0.6,0.8,0.2,0.008,-3.0,-0.9,-4.0,-0.5,NaN
248,Don Chaney\chanedo01,SG,30,LAL,81,2408,10.2,0.44,,0.18,5.2,8.7,7.0,15.3,2.7,0.7,,,0.4,2.6,2.9,0.057999999999999996,-2.1,2.3,0.2,1.3,West
249,Chuck Williams\willich02,PG,30,TOT,65,867,10.2,0.451,,0.414,3.1,8.7,5.9,19.5,1.6,0.2,,,0.0,0.6,0.6,0.035,-3.8,-0.9,-4.6,-0.6,NaN
250,Jerome Anderson\anderje01,SG,23,IND,27,164,10.1,0.48700000000000004,,0.33899999999999997,5.2,1.8,3.6,8.3,1.6,0.6,,,0.1,0.0,0.1,0.027000000000000003,-2.8,-3.1,-5.9,-0.2,West
251,Kevin Stacom\stacoke01,SG,25,BOS,79,1051,10.1,0.436,,0.132,3.8,5.3,4.5,15.8,0.8,0.1,,,-0.1,0.7,0.6,0.027000000000000003,-3.8,-2.1,-5.9,-1.0,East
252,Corky Calhoun\calhoco01,SF,26,POR,70,743,10.0,0.535,,0.46399999999999997,5.6,14.2,10.0,5.9,1.4,0.6,,,0.5,0.8,1.3,0.083,-2.8,-0.6,-3.4,-0.3,West
253,Harvey Catchings\catchha01,C,25,PHI,53,864,10.0,0.546,,0.382,7.8,18.7,13.5,4.3,1.2,4.5,,,0.2,1.5,1.7,0.092,-4.3,3.0,-1.3,0.2,East
254,Eric Fernsten\fernser01,C,23,CHI,5,61,10.0,0.353,,0.733,15.2,12.1,13.7,12.8,0.8,2.7,,,-0.1,0.1,0.0,0.004,-4.0,0.6,-3.4,0.0,West
255,Cliff Pondexter\pondecl01,PF,22,CHI,78,996,10.0,0.44799999999999995,,0.253,8.0,16.8,12.3,5.8,1.6,0.6,,,0.1,1.4,1.5,0.071,-4.7,0.4,-4.3,-0.6,West
256,Kevin Grevey\greveke01,SF,23,WSB,76,1306,9.9,0.452,,0.225,5.9,8.1,7.0,7.2,1.0,0.4,,,-0.2,1.0,0.7,0.027000000000000003,-3.4,-1.6,-4.9,-1.0,East
257,Jim McMillian\mcmilji01,SF,28,NYK,67,2158,9.9,0.488,,0.134,3.3,11.5,7.5,8.2,1.3,0.1,,,1.1,1.5,2.6,0.057,-2.7,0.6,-2.1,0.0,East
258,Kim Hughes\hugheki01,C,24,NYN,81,2081,9.8,0.418,,0.195,8.8,19.2,13.7,6.6,2.7,3.2,,,-1.4,3.7,2.3,0.053,-4.6,4.6,0.0,1.0,East
259,John Laskowski\laskojo01,SG,23,CHI,47,562,9.8,0.39299999999999996,,0.142,2.9,8.8,5.8,11.4,2.7,0.2,,,-0.4,0.7,0.4,0.03,-5.5,-0.1,-5.6,-0.5,West
260,Bob Love\lovebo01,SF,34,TOT,59,1174,9.8,0.445,,0.308,6.8,10.8,8.7,5.8,0.9,0.3,,,0.1,0.9,1.0,0.04,-4.0,-1.8,-5.8,-1.1,NaN
261,Marshall Rogers\rogerma01,PG,23,GSW,26,176,9.8,0.408,,0.129,3.4,2.9,3.2,8.2,2.0,0.9,,,-0.3,0.1,-0.2,-0.043,-5.1,-4.8,-9.9,-0.4,West
262,Dennis Awtrey\awtrede01,C,28,PHO,72,1760,9.6,0.48,,0.33799999999999997,6.8,15.0,10.9,13.4,0.6,1.0,,,0.3,1.8,2.1,0.057,-3.2,1.2,-2.0,0.0,West
263,E.C. Coleman\colemec01,PF,26,NOJ,77,2369,9.6,0.489,,0.17800000000000002,6.2,16.1,11.2,5.8,1.2,0.7,,,0.7,2.6,3.2,0.065,-3.3,1.1,-2.2,-0.1,East
264,Frank Oleynick\oleynfr01,PG,21,SEA,50,516,9.6,0.408,,0.23800000000000002,2.5,6.7,4.5,16.3,1.1,0.4,,,-0.5,0.3,-0.2,-0.018000000000000002,-4.5,-2.7,-7.2,-0.7,West
265,Rudy White\whiteru01,SG,23,HOU,46,368,9.6,0.466,,0.23600000000000002,4.0,8.0,6.1,12.4,1.4,0.1,,,0.1,0.1,0.2,0.025,-2.9,-1.7,-4.6,-0.2,East
