Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
163,Matt Harpring\harprma01,SG,24,CLE,56,1615,13.3,0.522,0.099,0.315,6.5,10.9,8.7,10.9,1.4,0.8,13.1,19.2,1.8,0.8,2.6,0.077,0.2,-0.8,-0.6,0.6,East
164,Al Harrington\harrial01,PF,20,IND,78,1892,10.2,0.479,0.013000000000000001,0.289,7.4,15.2,11.4,11.8,1.8,0.7,19.5,18.8,-1.0,2.2,1.2,0.031,-3.2,0.7,-2.5,-0.2,East
165,Othella Harrington\harriot01,C,27,TOT,74,1815,12.0,0.5489999999999999,0.006,0.442,9.0,15.7,12.4,5.3,1.0,1.8,19.3,19.2,0.8,1.7,2.5,0.067,-2.7,0.0,-2.7,-0.3,NaN
165,Othella Harrington\harriot01,C,27,VAN,44,1267,11.7,0.529,0.008,0.39899999999999997,9.3,16.8,13.1,4.9,0.8,1.4,18.6,20.1,0.1,0.8,0.9,0.035,-3.2,-0.9,-4.1,-0.7,West
165,Othella Harrington\harriot01,C,27,NYK,30,548,12.9,0.609,0.0,0.579,8.4,13.3,10.9,6.4,1.5,2.8,21.3,17.2,0.7,0.9,1.6,0.14,-1.5,2.1,0.5,0.4,East
166,Lucious Harris\harrilu01,SG,30,NJN,73,2071,12.9,0.498,0.212,0.223,3.8,12.4,8.0,11.3,1.9,0.6,8.5,16.4,2.0,1.2,3.1,0.073,-0.5,-0.5,-0.9,0.6,East
167,Jason Hart\hartja01,PG,22,MIL,1,10,1.7,1.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,66.7,13.6,0.0,0.0,0.0,-0.159,-8.8,-7.0,-15.8,0.0,East
168,Antonio Harvey\harvean01,PF,30,POR,12,72,17.0,0.506,0.0,0.214,8.6,14.4,11.6,9.6,0.7,6.2,8.9,21.7,0.1,0.1,0.2,0.135,-2.1,0.4,-1.6,0.0,West
169,Donnell Harvey\harvedo01,PF,20,DAL,18,65,9.8,0.523,0.0,1.143,10.6,23.4,17.2,4.7,2.4,1.1,25.0,19.6,-0.1,0.1,0.1,0.039,-5.0,-0.2,-5.2,-0.1,West
170,Hersey Hawkins\hawkihe01,SG,34,CHH,59,681,14.3,0.555,0.336,0.46,2.9,10.5,6.7,17.0,2.6,1.0,10.3,12.4,1.4,1.0,2.3,0.165,-0.4,0.5,0.1,0.4,East
171,Michael Hawkins\hawkimi01,PG,28,CLE,10,76,3.7,0.444,0.444,0.0,3.1,4.6,3.8,24.8,1.4,0.0,40.0,8.9,0.0,0.0,0.0,-0.022000000000000002,-4.5,-3.0,-7.5,-0.1,East
172,Alan Henderson\hendeal01,PF,28,ATL,73,1810,14.0,0.48700000000000004,0.001,0.40399999999999997,11.0,14.0,12.5,4.9,1.5,1.1,13.8,22.6,0.5,1.4,1.9,0.05,-2.1,-1.3,-3.4,-0.6,East
173,Cedric Henderson\hendece02,SF,25,CLE,55,961,6.2,0.41600000000000004,0.031,0.17600000000000002,2.3,8.5,5.4,13.2,1.6,1.7,18.2,16.2,-1.3,0.5,-0.7,-0.037000000000000005,-4.8,-0.4,-5.2,-0.8,East
174,Chris Herren\herrech01,PG,25,BOS,25,408,6.1,0.41,0.573,0.125,1.1,5.1,3.0,21.9,1.8,0.0,16.5,13.5,-0.2,0.2,0.0,0.001,-3.4,-3.3,-6.7,-0.5,East
175,Grant Hill*\hillgr01,SF,28,ORL,4,133,18.1,0.505,0.023,0.605,6.5,14.5,10.4,30.7,1.9,1.1,16.8,21.8,0.2,0.2,0.3,0.126,0.3,0.0,0.3,0.1,East
176,Tyrone Hill\hillty01,PF,32,PHI,76,2363,12.4,0.515,0.002,0.465,11.7,21.0,16.4,3.3,0.8,0.8,15.2,16.0,2.0,3.5,5.5,0.111,-1.8,0.1,-1.7,0.2,East
177,Fred Hoiberg\hoibefr01,SG,28,CHI,74,2247,15.3,0.597,0.505,0.317,1.1,15.8,8.1,19.9,2.3,0.4,11.6,13.2,4.6,1.3,5.9,0.126,1.6,-0.6,0.9,1.7,East
178,Robert Horry\horryro01,PF,30,LAL,79,1587,11.0,0.489,0.41100000000000003,0.218,6.7,14.3,10.5,11.7,1.8,2.4,15.9,14.0,1.1,1.5,2.6,0.078,-0.5,0.8,0.3,0.9,West
179,Eddie House\houseed01,PG,22,MIA,50,550,11.6,0.478,0.223,0.142,1.1,8.0,4.5,19.4,1.3,0.0,11.8,26.2,-0.2,0.6,0.4,0.035,-2.4,-2.9,-5.3,-0.5,East
180,Allan Houston\houstal01,SG,29,NYK,78,2858,16.1,0.5429999999999999,0.209,0.254,0.9,10.8,6.0,12.0,1.0,0.3,10.7,25.7,4.1,3.5,7.5,0.126,1.2,-0.9,0.3,1.6,East
181,Juwan Howard\howarju01,PF,27,TOT,81,2974,16.0,0.527,0.002,0.314,6.6,15.6,11.1,13.9,1.3,0.9,14.9,24.6,2.8,1.6,4.4,0.071,0.2,-0.6,-0.4,1.2,NaN
181,Juwan Howard\howarju01,PF,27,WAS,54,1981,15.8,0.522,0.0,0.31,7.0,15.5,11.2,14.9,1.2,0.8,15.2,24.9,1.6,0.6,2.2,0.053,0.3,-1.0,-0.7,0.7,East
181,Juwan Howard\howarju01,PF,27,DAL,27,993,16.6,0.5379999999999999,0.008,0.325,5.8,15.7,10.9,12.0,1.5,1.1,14.0,23.8,1.1,1.1,2.2,0.106,0.0,0.3,0.2,0.6,West
182,Troy Hudson\hudsotr01,PG,24,ORL,75,1008,10.2,0.42700000000000005,0.293,0.28,4.1,7.6,5.8,25.5,1.9,0.2,18.0,22.4,-0.7,0.8,0.1,0.003,-2.5,-2.4,-5.0,-0.8,East
183,Larry Hughes\hughela01,SG,22,GSW,50,1846,13.9,0.449,0.09300000000000001,0.313,4.0,12.5,7.9,21.0,2.7,1.1,14.2,24.4,-0.4,1.1,0.6,0.017,-0.9,0.0,-0.9,0.5,West
184,Lindsey Hunter\hunteli01,PG,30,MIL,82,2002,14.8,0.5,0.52,0.12300000000000001,1.8,7.7,4.8,17.4,2.7,0.4,7.6,20.2,3.1,1.4,4.6,0.109,2.3,-1.8,0.5,1.3,East
185,Zydrunas Ilgauskas\ilgauzy01,C,25,CLE,24,616,16.0,0.524,0.009000000000000001,0.33299999999999996,12.3,17.8,15.0,5.4,1.3,4.4,18.3,24.1,0.1,0.7,0.7,0.055999999999999994,-2.1,0.0,-2.1,0.0,East
186,Allen Iverson*\iversal01,SG,25,PHI,71,2979,24.0,0.518,0.16899999999999998,0.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,7.3,4.5,11.8,0.19,5.0,-0.1,4.8,5.1,East
187,Bobby Jackson\jacksbo01,PG,27,SAC,79,1648,13.1,0.501,0.198,0.16699999999999998,5.0,11.0,8.0,15.3,2.7,0.3,15.4,17.9,0.9,2.3,3.1,0.091,-0.8,0.8,0.0,0.8,West
188,Jaren Jackson\jacksja01,SG,33,SAS,16,114,10.4,0.47700000000000004,0.45,0.05,1.0,10.4,6.0,10.5,2.4,0.0,6.8,18.1,0.0,0.2,0.2,0.087,-0.7,-0.7,-1.3,0.0,West
189,Jim Jackson\jacksji01,SF,30,TOT,56,1690,10.7,0.455,0.127,0.267,3.6,11.6,7.6,16.4,1.6,0.4,15.5,22.3,-0.8,1.0,0.1,0.003,-2.1,-0.9,-3.0,-0.4,NaN
189,Jim Jackson\jacksji01,SF,30,ATL,17,550,12.7,0.478,0.175,0.392,3.4,12.6,8.0,15.4,1.8,0.5,15.9,24.6,-0.1,0.4,0.4,0.031,-1.5,-0.8,-2.3,0.0,East
189,Jim Jackson\jacksji01,SF,30,CLE,39,1140,9.7,0.44299999999999995,0.10099999999999999,0.20199999999999999,3.7,11.1,7.4,16.9,1.6,0.4,15.4,21.2,-0.8,0.6,-0.2,-0.01,-2.3,-1.0,-3.3,-0.4,East
190,Marc Jackson\jacksma02,C,26,GSW,48,1410,16.1,0.534,0.045,0.37799999999999995,8.3,19.8,13.6,7.3,1.2,1.4,13.6,20.5,1.9,0.7,2.6,0.08900000000000001,-1.1,-1.2,-2.4,-0.1,West
191,Mark Jackson\jacksma01,PG,35,TOT,83,2588,14.9,0.506,0.355,0.16,2.8,10.9,6.8,39.3,1.7,0.2,21.9,14.2,3.6,2.3,5.9,0.11,0.8,-1.2,-0.5,1.0,NaN
191,Mark Jackson\jacksma01,PG,35,TOR,54,1802,16.3,0.528,0.409,0.18899999999999997,2.6,9.2,5.8,41.3,1.8,0.3,21.1,13.7,3.5,1.2,4.7,0.125,1.7,-2.1,-0.4,0.7,East
191,Mark Jackson\jacksma01,PG,35,NYK,29,786,11.8,0.45299999999999996,0.233,0.094,3.3,14.8,9.2,34.7,1.5,0.0,23.6,15.3,0.1,1.2,1.2,0.07400000000000001,-1.5,0.8,-0.6,0.3,East
192,Stephen Jackson\jacksst02,SF,22,NJN,77,1660,12.1,0.503,0.271,0.23600000000000002,2.8,11.9,7.2,15.1,2.7,0.6,17.1,20.8,-0.4,1.3,0.9,0.026000000000000002,-1.5,-0.7,-2.1,-0.1,East
193,Sam Jacobson\jacobsa01,PG,25,MIN,14,59,10.7,0.518,0.0,0.16699999999999998,5.8,5.9,5.8,10.6,2.7,0.0,0.0,14.8,0.1,0.0,0.2,0.147,0.2,-1.6,-1.4,0.0,West
194,Tim James\jamesti01,SF,24,CHH,30,197,5.8,0.387,0.057999999999999996,0.26899999999999996,8.7,11.5,10.1,6.5,0.5,1.9,12.1,15.5,-0.1,0.2,0.1,0.022000000000000002,-5.8,-1.0,-6.8,-0.2,East
195,Antawn Jamison\jamisan01,SF,24,GSW,82,3394,19.0,0.499,0.113,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,5.4,1.3,6.7,0.094,2.1,-2.1,0.0,1.7,West
196,Anthony Johnson\johnsan02,PG,26,TOT,53,511,8.1,0.39,0.033,0.217,2.2,7.6,4.9,24.5,2.4,0.8,17.0,17.6,-0.5,0.3,-0.2,-0.019,-4.4,-1.3,-5.7,-0.5,NaN
196,Anthony Johnson\johnsan02,PG,26,ATL,25,279,7.2,0.408,0.042,0.239,1.2,8.0,4.6,19.2,3.2,1.3,20.3,15.8,-0.4,0.3,-0.1,-0.013000000000000001,-5.0,0.4,-4.5,-0.2,East
196,Anthony Johnson\johnsan02,PG,26,CLE,28,232,9.1,0.375,0.025,0.198,3.5,7.0,5.2,31.0,1.4,0.3,13.7,19.9,-0.2,0.1,-0.1,-0.025,-3.6,-3.4,-7.0,-0.3,East
197,Avery Johnson\johnsav01,PG,35,SAS,55,1290,11.5,0.475,0.02,0.2,1.9,5.3,3.7,29.5,1.4,0.2,15.5,14.1,1.3,1.3,2.6,0.098,-1.4,-1.3,-2.6,-0.2,West
198,DerMarr Johnson\johnsde03,SF,20,ATL,78,1313,8.4,0.46299999999999997,0.326,0.223,4.7,10.4,7.6,7.9,1.7,1.6,17.8,17.7,-0.9,0.9,0.0,0.0,-3.0,-0.3,-3.3,-0.4,East
199,Ervin Johnson\johnser02,C,33,MIL,82,1981,11.2,0.557,0.0,0.47,11.8,23.2,17.5,2.8,1.2,3.6,16.4,6.5,2.6,2.5,5.1,0.12300000000000001,-1.5,2.1,0.6,1.3,East
