Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
455,Charlie Villanueva\villach01,PF,30,DAL,64,678,17.4,0.534,0.61,0.09699999999999999,4.8,19.3,12.1,4.7,1.1,2.6,6.9,26.7,,0.6,0.7,1.4,0.096,,1.2,-3.1,-1.8,0.0,West
456,Noah Vonleh\vonleno01,PF,19,CHO,25,259,13.2,0.475,0.171,0.342,11.6,25.3,18.3,2.5,0.8,2.7,11.2,17.3,,0.1,0.4,0.5,0.085,,-4.8,-0.9,-5.6,-0.2,East
457,Nikola Vucevic\vucevni01,C,24,ORL,74,2529,21.5,0.5479999999999999,0.005,0.18100000000000002,10.4,26.0,18.1,11.0,1.1,1.7,10.2,26.0,,4.5,2.5,7.0,0.133,,0.7,-0.1,0.5,1.6,East
458,Dwyane Wade\wadedw01,SG,33,MIA,62,1971,21.4,0.534,0.094,0.341,3.6,9.6,6.7,32.1,2.0,0.9,14.4,34.7,,2.1,1.4,3.5,0.086,,2.4,-1.2,1.2,1.6,East
459,Dion Waiters\waitedi01,SG,23,TOT,80,2208,10.9,0.46,0.26,0.182,2.1,7.4,4.8,11.9,2.1,0.8,10.0,22.5,,-0.6,1.7,1.1,0.025,,-2.1,-1.5,-3.6,-0.9,NaN
459,Dion Waiters\waitedi01,SG,23,CLE,33,786,12.2,0.46799999999999997,0.251,0.175,1.8,6.5,4.2,15.6,2.9,1.0,12.0,24.0,,-0.3,0.7,0.5,0.028999999999999998,,-2.1,-1.0,-3.1,-0.2,East
459,Dion Waiters\waitedi01,SG,23,OKC,47,1422,10.1,0.455,0.265,0.185,2.2,7.9,5.1,9.8,1.6,0.6,8.8,21.7,,-0.3,1.0,0.7,0.023,,-2.2,-1.7,-3.8,-0.7,West
460,Henry Walker\walkebi01,SF,27,MIA,24,628,8.0,0.49700000000000005,0.7859999999999999,0.107,1.4,14.0,7.8,7.2,2.0,1.2,12.0,15.0,,-0.1,0.6,0.5,0.039,,-0.9,-0.1,-1.0,0.2,East
461,Kemba Walker\walkeke02,PG,24,CHO,62,2119,17.6,0.486,0.285,0.28800000000000003,1.8,9.9,5.7,27.1,2.2,1.2,8.3,25.9,,1.8,2.6,4.5,0.10099999999999999,,2.2,0.1,2.2,2.3,East
462,John Wall\walljo01,PG,24,WAS,79,2837,19.9,0.523,0.18600000000000003,0.31,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,,3.6,4.2,7.8,0.132,,2.4,1.1,3.5,3.9,East
463,Gerald Wallace\wallage01,SF,32,BOS,32,286,6.2,0.431,0.08800000000000001,0.441,6.4,15.5,10.9,5.1,2.6,1.1,30.7,9.0,,-0.3,0.4,0.1,0.013999999999999999,,-5.8,2.6,-3.2,-0.1,East
464,T.J. Warren\warretj01,SF,21,PHO,40,614,14.0,0.551,0.098,0.08900000000000001,7.3,7.9,7.6,6.6,1.5,1.1,10.8,17.8,,0.7,0.4,1.1,0.085,,-1.0,-1.1,-2.1,0.0,West
465,C.J. Watson\watsocj01,PG,30,IND,57,1422,15.4,0.581,0.42,0.4,1.4,11.2,6.3,23.3,2.1,0.5,16.9,18.8,,2.2,1.8,4.0,0.135,,1.4,0.1,1.5,1.3,East
466,David Wear\wearda01,PF,24,SAC,2,7,2.4,0.0,0.5,0.0,33.6,0.0,16.2,18.8,0.0,0.0,0.0,12.6,,0.0,0.0,0.0,-0.11,,-0.3,-2.7,-3.0,0.0,West
467,Travis Wear\weartr01,SF,24,NYK,51,672,8.5,0.451,0.14400000000000002,0.124,5.2,13.3,9.1,9.9,1.2,1.4,13.7,17.5,,-0.5,0.2,-0.3,-0.02,,-4.5,-1.6,-6.1,-0.7,East
468,Martell Webster\webstma02,SF,28,WAS,32,352,5.9,0.445,0.473,0.703,3.3,11.3,7.4,6.7,1.0,0.2,15.6,18.2,,-0.3,0.3,0.0,0.0,,-4.4,-1.6,-6.1,-0.4,East
469,David West\westda01,PF,34,IND,66,1895,16.0,0.508,0.028999999999999998,0.235,6.4,19.7,13.1,20.1,1.3,2.0,13.7,21.0,,1.4,2.8,4.3,0.10800000000000001,,-0.7,2.4,1.7,1.8,East
470,Russell Westbrook\westbru01,PG,26,OKC,67,2302,29.1,0.536,0.196,0.445,5.9,16.7,11.4,47.0,3.0,0.5,14.3,38.4,,7.5,3.2,10.6,0.222,,8.8,2.2,11.0,7.6,West
471,Hassan Whiteside\whiteha01,C,25,MIA,48,1142,26.2,0.619,0.0,0.40299999999999997,15.6,34.7,25.4,1.0,1.2,9.2,11.3,21.1,,2.8,2.4,5.3,0.221,,-1.6,0.7,-0.9,0.3,East
472,Shayne Whittington\whittsh01,PF,23,IND,20,108,20.0,0.547,0.14300000000000002,0.5479999999999999,10.3,19.3,14.8,9.6,2.4,1.5,8.8,23.9,,0.3,0.2,0.4,0.2,,0.5,0.0,0.5,0.1,East
473,Andrew Wiggins\wiggian01,SF,19,MIN,82,2969,13.9,0.517,0.111,0.41,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,,2.1,0.0,2.1,0.034,,-0.5,-1.8,-2.3,-0.2,West
474,C.J. Wilcox\wilcocj01,SG,24,LAC,21,101,8.5,0.527,0.5,0.053,1.1,6.5,3.9,12.0,1.5,0.8,20.5,21.8,,-0.1,0.1,0.0,-0.024,,-3.3,-2.7,-6.0,-0.1,West
475,Deron Williams\willide01,PG,30,BRK,68,2114,15.7,0.504,0.307,0.313,1.5,11.0,6.3,33.7,1.6,0.6,14.9,22.3,,2.3,1.3,3.6,0.083,,1.3,-1.2,0.1,1.1,East
476,Derrick Williams\willide02,PF,23,SAC,74,1462,12.8,0.54,0.322,0.40399999999999997,3.3,12.1,7.8,5.6,1.2,0.2,8.9,18.9,,1.7,0.4,2.1,0.069,,-0.5,-2.7,-3.2,-0.5,West
477,Elliot Williams\williel01,SG,25,TOT,13,119,8.7,0.47700000000000004,0.486,0.10800000000000001,0.0,7.7,3.8,15.5,1.8,0.0,9.4,16.4,,0.0,0.1,0.1,0.039,,-1.7,-2.9,-4.6,-0.1,NaN
477,Elliot Williams\williel01,SG,25,UTA,5,42,14.4,0.648,0.5379999999999999,0.154,0.0,8.2,4.1,16.1,2.5,0.0,22.4,19.5,,0.0,0.0,0.1,0.09,,-0.1,-2.3,-2.4,0.0,West
477,Elliot Williams\williel01,SG,25,NOP,8,77,5.6,0.382,0.45799999999999996,0.083,0.0,7.4,3.7,15.2,1.4,0.0,0.0,14.7,,0.0,0.0,0.0,0.012,,-2.6,-3.2,-5.8,-0.1,West
478,Lou Williams\willilo02,SG,28,TOR,80,2016,19.9,0.564,0.48200000000000004,0.426,1.4,7.3,4.3,13.6,2.3,0.4,8.4,27.0,,5.4,1.1,6.6,0.157,,4.0,-3.1,0.9,1.5,East
479,Marvin Williams\willima02,PF,28,CHO,78,2035,11.8,0.541,0.535,0.17600000000000002,3.1,18.2,10.4,7.8,1.8,1.4,10.1,13.3,,1.5,2.9,4.3,0.102,,-0.8,1.8,1.0,1.5,East
