Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
10,Kenny Anderson\anderke01,PG,32,SEA,38,689,15.9,0.47100000000000003,0.022000000000000002,0.151,2.9,12.1,7.4,30.3,3.2,0.1,11.8,19.1,0.7,0.8,1.5,0.107,-0.7,0.1,-0.5,0.3,West
10,Kenny Anderson\anderke01,PG,32,NOH,23,446,10.2,0.435,0.013000000000000001,0.147,3.6,8.2,5.9,29.0,2.2,0.6,20.8,20.6,-0.4,0.5,0.1,0.009000000000000001,-3.7,-0.9,-4.6,-0.3,East
11,Shandon Anderson\andersh01,SF,29,NYK,82,1731,13.4,0.5529999999999999,0.261,0.354,4.2,13.2,8.6,8.3,2.2,0.8,15.5,19.6,1.2,1.4,2.7,0.07400000000000001,-0.6,-0.2,-0.8,0.5,East
12,Robert Archibald\archiro01,PF,22,MEM,12,72,2.4,0.34,0.0,0.9,9.5,17.0,13.3,6.1,0.0,2.9,20.0,21.8,-0.3,0.0,-0.2,-0.158,-9.5,-2.2,-11.7,-0.2,West
13,Gilbert Arenas\arenagi01,PG,21,GSW,82,2866,18.6,0.54,0.265,0.397,3.6,10.6,7.2,30.0,2.2,0.4,17.3,24.9,5.8,0.7,6.5,0.109,3.9,-1.6,2.2,3.1,West
14,Brandon Armstrong\armstbr01,SG,22,NJN,17,69,3.9,0.405,0.222,0.222,0.0,6.6,3.3,4.8,2.3,1.1,14.4,22.6,-0.2,0.1,-0.1,-0.05,-7.7,-1.8,-9.5,-0.1,East
15,Darrell Armstrong\armstda01,PG,34,ORL,82,2350,14.6,0.53,0.361,0.292,4.3,10.2,7.2,21.7,3.0,0.4,18.1,16.9,2.7,2.2,4.9,0.1,0.8,0.3,1.2,1.9,East
16,Carlos Arroyo\arroyca01,PG,23,UTA,44,287,14.1,0.51,0.064,0.20199999999999999,4.8,6.1,5.5,33.1,2.2,0.3,20.2,23.8,0.1,0.2,0.3,0.057,-0.9,-2.8,-3.7,-0.1,West
17,Chucky Atkins\atkinch01,PG,28,DET,65,1398,10.1,0.475,0.52,0.105,1.8,6.5,4.1,22.4,1.1,0.2,13.7,19.4,0.3,1.2,1.5,0.053,-0.5,-2.3,-2.8,-0.3,East
18,Stacey Augmon\augmost01,SG,34,NOH,70,862,9.3,0.474,0.036000000000000004,0.375,3.5,12.7,8.0,12.5,1.7,0.8,15.2,13.9,0.2,1.0,1.2,0.067,-3.8,0.2,-3.5,-0.3,East
19,Dalibor Bagaric\bagarda01,C,22,CHI,10,76,7.1,0.342,0.0,0.154,10.3,18.6,14.5,8.2,2.0,2.9,15.3,19.1,-0.2,0.1,-0.1,-0.048,-6.7,0.5,-6.3,-0.1,East
20,Vin Baker\bakervi01,C,31,BOS,52,942,10.6,0.531,0.019,0.517,10.5,13.3,11.9,5.3,1.2,2.5,19.4,15.5,0.5,1.1,1.6,0.08199999999999999,-4.0,0.5,-3.4,-0.3,East
21,Brent Barry\barrybr01,SG,31,SEA,75,2480,15.8,0.597,0.508,0.27899999999999997,2.2,12.2,7.1,25.0,2.5,0.5,18.0,14.9,4.8,2.5,7.3,0.141,2.3,0.6,2.9,3.0,West
22,Jon Barry\barryjo01,SG,33,DET,80,1473,17.9,0.593,0.505,0.23600000000000002,2.6,12.0,7.2,25.5,2.4,0.7,14.8,17.9,3.4,2.2,5.6,0.183,2.9,0.1,3.0,1.9,East
23,Maceo Baston\bastoma01,PF,27,TOR,16,106,18.0,0.6609999999999999,0.0,0.48,4.1,21.3,12.4,0.0,2.0,7.3,16.5,15.6,0.2,0.2,0.3,0.153,-4.8,-0.4,-5.2,-0.1,East
24,Mengke Bateer\bateeme01,C,27,SAS,12,46,-8.4,0.252,0.17600000000000002,0.11800000000000001,5.3,19.2,12.6,13.5,0.0,0.0,25.1,24.1,-0.3,0.1,-0.2,-0.248,-12.5,-2.0,-14.4,-0.1,West
25,Mike Batiste\batismi01,PF,25,MEM,75,1248,12.2,0.47600000000000003,0.17300000000000001,0.188,7.5,15.6,11.6,6.9,1.7,0.9,12.0,20.7,0.0,0.7,0.8,0.028999999999999998,-2.2,-1.7,-3.9,-0.6,West
26,Tony Battie\battito01,C,26,BOS,67,1683,15.2,0.578,0.013999999999999999,0.32,9.7,19.7,14.6,5.2,1.0,3.8,10.2,12.9,3.3,2.5,5.8,0.16399999999999998,-2.0,1.8,-0.1,0.8,East
27,Shane Battier\battish01,SF,24,MEM,78,2383,15.0,0.597,0.38,0.255,6.1,10.1,8.1,6.8,2.2,2.5,9.7,13.2,4.8,1.5,6.2,0.126,2.4,1.2,3.6,3.4,West
28,Lonny Baxter\baxtelo01,C,24,CHI,55,682,11.3,0.521,0.01,0.5,10.7,16.0,13.4,3.8,0.7,2.3,15.5,19.3,0.4,0.5,0.9,0.063,-3.2,-2.0,-5.2,-0.5,East
29,Raja Bell\bellra01,SG,26,DAL,75,1173,7.9,0.509,0.242,0.161,4.4,9.2,6.8,6.8,2.3,0.5,16.0,10.4,0.5,1.2,1.7,0.069,-1.7,1.2,-0.5,0.5,West
30,Jonathan Bender\bendejo01,SF,22,IND,46,819,13.3,0.521,0.209,0.331,5.9,12.2,9.1,8.6,0.5,5.0,12.6,18.4,0.7,1.0,1.7,0.099,-1.7,0.9,-0.8,0.2,East
31,Corey Benjamin\benjaco01,SG,24,ATL,9,152,7.3,0.4,0.302,0.37200000000000005,7.8,15.1,11.6,10.4,0.3,0.9,10.7,16.9,0.0,0.1,0.0,0.004,-3.3,-2.5,-5.8,-0.1,East
32,Travis Best\besttr01,PG,30,MIA,72,1807,11.2,0.473,0.187,0.21100000000000002,1.6,8.0,4.7,25.7,1.3,0.3,14.3,19.4,0.5,1.4,1.8,0.048,-1.5,-1.3,-2.8,-0.4,East
33,Mike Bibby\bibbymi01,PG,24,SAC,55,1835,17.6,0.5589999999999999,0.196,0.267,2.1,6.3,4.3,24.3,2.0,0.3,14.0,21.9,3.5,2.0,5.6,0.146,1.9,-0.9,1.0,1.4,West
34,Chauncey Billups\billuch01,PG,26,DET,74,2327,20.4,0.5820000000000001,0.43700000000000006,0.41600000000000004,1.9,12.2,7.0,23.7,1.5,0.5,11.5,24.1,7.0,2.9,9.9,0.204,5.0,-0.7,4.2,3.7,East
35,Corie Blount\blounco01,C,34,CHI,50,836,9.6,0.502,0.0,0.261,9.1,17.9,13.5,8.9,2.0,1.7,22.3,10.2,0.2,0.9,1.1,0.064,-2.6,1.9,-0.7,0.3,East
36,Mark Blount\blounma01,C,27,TOT,81,1403,10.6,0.491,0.0,0.401,8.8,16.9,12.6,7.0,1.6,3.8,20.2,16.4,-0.4,2.1,1.7,0.059000000000000004,-4.9,2.0,-3.0,-0.3,NaN
36,Mark Blount\blounma01,C,27,DEN,54,885,9.6,0.452,0.0,0.371,7.8,16.7,12.0,7.0,1.3,4.6,18.4,19.1,-0.9,1.3,0.4,0.02,-6.0,1.7,-4.3,-0.5,West
36,Mark Blount\blounma01,C,27,BOS,27,518,12.2,0.615,0.0,0.5,10.4,17.1,13.7,6.8,2.0,2.6,25.3,11.7,0.6,0.8,1.4,0.126,-3.0,2.4,-0.6,0.2,East
37,Calvin Booth\boothca01,C,26,SEA,47,575,9.9,0.494,0.017,0.395,6.5,16.0,11.2,3.3,1.0,4.5,13.6,13.2,0.2,0.7,0.8,0.071,-4.8,1.2,-3.5,-0.2,West
38,Carlos Boozer\boozeca01,PF,21,CLE,81,2049,17.9,0.5770000000000001,0.002,0.311,10.8,22.7,16.6,9.3,1.5,1.7,12.8,17.1,4.2,1.8,5.9,0.139,0.3,-0.1,0.2,1.1,East
39,Ruben Boumtje-Boumtje\boumtru01,C,24,POR,2,5,18.4,0.0,0.0,0.0,24.2,0.0,12.1,26.6,10.7,0.0,0.0,9.2,0.0,0.0,0.0,0.114,1.8,8.0,9.8,0.0,West
40,Bruce Bowen\bowenbr01,SF,31,SAS,82,2566,9.1,0.563,0.478,0.18600000000000003,2.8,7.8,5.4,6.8,1.4,1.1,12.2,10.7,2.4,2.7,5.1,0.096,0.3,1.2,1.5,2.3,West
41,Ryan Bowen\bowenry01,SG,27,DEN,62,996,12.7,0.519,0.036000000000000004,0.20800000000000002,8.7,9.7,9.2,9.3,3.4,2.3,16.7,11.5,0.6,1.6,2.1,0.102,-2.1,3.2,1.1,0.8,West
42,Earl Boykins\boykiea01,PG,26,GSW,68,1321,17.6,0.5429999999999999,0.166,0.431,2.9,4.2,3.5,26.8,1.5,0.2,11.7,20.1,3.9,-0.4,3.5,0.127,2.2,-4.6,-2.3,-0.1,West
43,Michael Bradley\bradlmi01,PF,23,TOR,67,1314,12.8,0.49200000000000005,0.019,0.213,13.5,22.4,17.7,8.4,0.7,1.7,18.1,14.6,0.7,0.9,1.5,0.055999999999999994,-2.5,-0.2,-2.6,-0.2,East
44,Shawn Bradley\bradlsh01,C,30,DAL,81,1731,18.3,0.601,0.003,0.467,9.6,20.7,15.1,4.6,1.9,7.3,12.9,13.6,3.9,3.5,7.4,0.204,-0.4,4.7,4.3,2.8,West
45,Elton Brand\brandel01,PF,23,LAC,62,2454,21.7,0.5429999999999999,0.001,0.396,13.1,19.3,16.2,12.0,1.5,4.6,13.2,22.4,4.9,2.7,7.6,0.149,2.1,2.4,4.5,4.1,West
46,J.R. Bremer\bremejr01,PG,22,BOS,64,1503,12.7,0.515,0.616,0.239,1.3,9.8,5.5,19.2,1.3,0.2,10.3,17.7,1.8,1.2,3.0,0.096,0.1,-2.0,-1.9,0.0,East
47,Jamison Brewer\breweja01,PG,22,IND,10,80,13.4,0.525,0.11800000000000001,0.529,7.2,5.5,6.3,36.4,1.3,0.9,22.3,15.2,0.1,0.1,0.2,0.106,-0.6,-2.5,-3.1,0.0,East
48,Primoz Brezec\brezepr01,C,23,IND,22,111,10.9,0.449,0.026000000000000002,0.526,13.5,9.9,11.6,6.0,0.9,2.6,13.0,21.9,0.0,0.1,0.1,0.047,-3.7,-1.6,-5.3,-0.1,East
49,Damone Brown\brownda02,PF,23,TOR,5,115,1.6,0.363,0.057,0.22899999999999998,2.9,12.4,7.4,4.2,0.5,0.0,13.5,17.7,-0.3,0.0,-0.2,-0.102,-7.9,-3.4,-11.3,-0.3,East
50,Devin Brown\brownde02,SG,24,TOT,10,93,6.9,0.389,0.028999999999999998,0.22899999999999998,10.0,12.8,11.2,13.5,2.3,0.9,18.9,23.0,-0.2,0.1,-0.1,-0.043,-5.9,0.0,-5.9,-0.1,NaN
50,Devin Brown\brownde02,SG,24,SAS,7,22,13.8,0.551,0.0,0.2,22.1,15.1,18.4,18.0,0.0,0.0,31.5,33.5,0.0,0.0,0.0,-0.023,-3.1,-2.4,-5.5,0.0,West
50,Devin Brown\brownde02,SG,24,DEN,3,71,4.8,0.326,0.04,0.24,6.3,12.1,9.0,12.1,3.0,1.1,12.6,19.8,-0.2,0.1,-0.1,-0.05,-6.7,0.7,-6.0,-0.1,West
51,Kedrick Brown\brownke01,SF,21,BOS,51,666,8.8,0.392,0.228,0.187,7.4,16.6,11.9,5.1,2.7,1.5,11.1,14.5,-0.5,1.1,0.5,0.037000000000000005,-5.4,1.0,-4.4,-0.4,East
52,Kwame Brown\brownkw01,C,20,WAS,80,1773,13.6,0.496,0.006,0.43200000000000005,8.5,19.9,14.2,5.6,1.5,3.4,15.5,18.8,0.2,2.3,2.5,0.069,-3.4,0.7,-2.7,-0.3,East
53,P.J. Brown\brownpj01,PF,33,NOH,78,2609,17.6,0.5920000000000001,0.005,0.386,10.7,20.7,15.6,9.2,1.4,2.2,12.2,14.0,6.4,3.8,10.2,0.188,1.1,2.3,3.4,3.6,East
54,Randy Brown\brownra02,PG,34,PHO,32,262,7.2,0.425,0.0,0.27899999999999997,1.3,10.0,5.6,19.2,3.4,0.6,26.0,11.2,-0.2,0.4,0.2,0.031,-5.0,1.4,-3.6,-0.1,West
55,Tierre Brown\brownti01,PG,23,CLE,15,168,17.4,0.499,0.017,0.237,5.2,14.9,10.0,41.6,4.0,0.0,25.2,22.5,0.0,0.2,0.2,0.044000000000000004,-1.2,-0.4,-1.6,0.0,East
56,Rick Brunson\brunsri01,PG,30,CHI,17,196,13.4,0.5429999999999999,0.12,0.24,2.3,8.3,5.4,29.0,2.6,1.1,23.5,16.4,0.1,0.1,0.3,0.07,-1.8,-1.4,-3.2,-0.1,East
57,Kobe Bryant\bryanko01,SG,24,LAL,82,3401,26.2,0.55,0.168,0.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,11.0,4.0,14.9,0.21,6.1,0.3,6.4,7.1,West
58,Mark Bryant\bryanma01,PF,37,TOT,16,100,0.4,0.313,0.0,0.21100000000000002,9.2,14.3,11.7,5.9,0.5,0.8,25.2,12.5,-0.2,0.1,-0.1,-0.068,-8.2,-1.5,-9.7,-0.2,NaN
58,Mark Bryant\bryanma01,PF,37,PHI,11,77,1.5,0.336,0.0,0.11800000000000001,10.5,14.0,12.2,1.9,0.7,1.0,21.9,13.3,-0.1,0.1,-0.1,-0.057,-7.5,-1.8,-9.3,-0.1,East
58,Mark Bryant\bryanma01,PF,37,DEN,3,14,-5.0,0.266,0.0,2.0,7.9,8.7,8.3,21.0,0.0,0.0,51.5,12.3,-0.1,0.0,0.0,-0.161,-10.7,-1.4,-12.1,0.0,West
58,Mark Bryant\bryanma01,PF,37,BOS,2,9,-1.1,0.0,0.0,0.0,0.0,25.9,12.6,16.3,0.0,0.0,0.0,5.2,0.0,0.0,0.0,-0.019,-10.4,0.6,-9.8,0.0,East
59,Greg Buckner\buckngr01,SG,26,PHI,75,1514,11.6,0.519,0.138,0.204,5.5,11.4,8.4,10.1,2.5,0.8,12.5,14.7,1.5,1.7,3.1,0.1,-0.6,0.7,0.0,0.8,East
60,Pat Burke\burkepa01,C,29,ORL,62,783,8.3,0.415,0.024,0.196,8.1,13.4,10.7,4.9,1.3,2.3,12.8,21.1,-1.0,0.6,-0.3,-0.021,-6.1,-1.6,-7.7,-1.1,East
61,Caron Butler\butleca01,SF,22,MIA,78,2858,15.1,0.502,0.10400000000000001,0.363,5.3,10.9,8.0,14.1,2.6,0.9,13.8,22.9,1.6,3.6,5.1,0.086,0.1,1.6,1.7,2.7,East
62,Rasual Butler\butlera01,SG,23,MIA,72,1514,9.5,0.43700000000000006,0.299,0.182,2.1,12.3,7.1,11.4,0.8,2.2,11.1,21.6,-1.4,1.4,0.1,0.002,-3.4,-0.4,-3.8,-0.7,East
63,Jason Caffey\caffeja01,PF,29,MIL,51,894,10.5,0.501,0.0,0.42700000000000005,8.9,14.2,11.5,6.7,1.1,1.2,16.0,18.3,0.3,0.3,0.6,0.031,-2.9,-1.9,-4.8,-0.6,East
64,Marcus Camby\cambyma01,C,28,DEN,29,616,17.5,0.444,0.022000000000000002,0.22,13.5,26.4,19.7,14.4,1.7,5.2,9.8,19.9,0.3,1.2,1.5,0.11900000000000001,-1.7,3.7,2.0,0.6,West
65,Elden Campbell\campbel01,C,34,TOT,56,869,14.1,0.483,0.003,0.461,6.2,18.2,12.1,9.9,2.0,3.3,12.4,21.3,0.6,1.4,2.0,0.109,-3.3,1.3,-2.0,0.0,NaN
65,Elden Campbell\campbel01,C,34,NOH,41,685,15.0,0.496,0.004,0.466,5.7,18.5,12.0,10.5,1.9,3.3,12.4,22.6,0.6,1.1,1.7,0.122,-2.9,1.0,-1.9,0.0,East
65,Elden Campbell\campbel01,C,34,SEA,15,184,10.8,0.419,0.0,0.43799999999999994,8.2,16.9,12.5,7.6,2.7,3.4,12.3,16.6,0.0,0.3,0.2,0.063,-4.6,2.2,-2.4,0.0,West
66,Brian Cardinal\cardibr01,PF,25,WAS,5,15,13.8,0.41,0.25,0.5,23.6,15.8,19.7,10.4,0.0,0.0,17.0,18.5,0.0,0.0,0.0,0.051,-1.0,-3.2,-4.2,0.0,East
67,Anthony Carter\cartean01,PG,27,MIA,49,912,9.9,0.39,0.034,0.215,1.5,9.3,5.3,37.9,2.7,0.4,24.1,17.3,-1.3,1.1,-0.2,-0.012,-4.8,-0.5,-5.3,-0.8,East
68,Vince Carter\cartevi01,SG,26,TOR,43,1471,21.9,0.532,0.172,0.21100000000000002,4.4,10.4,7.3,20.4,1.7,2.0,8.2,28.1,3.4,0.8,4.2,0.136,4.1,-1.4,2.7,1.7,East
69,Sam Cassell\cassesa01,PG,33,MIL,78,2700,22.3,0.565,0.14,0.385,2.5,12.4,7.4,29.6,1.7,0.4,11.5,26.5,8.8,0.8,9.6,0.171,4.5,-2.0,2.6,3.1,East
70,Kelvin Cato\catoke01,C,28,HOU,73,1247,15.5,0.535,0.016,0.484,12.5,26.7,19.8,2.6,1.6,4.9,15.3,13.6,1.3,2.5,3.8,0.145,-2.8,1.8,-1.0,0.3,West
71,Tyson Chandler\chandty01,C,20,CHI,75,1827,15.8,0.565,0.0,0.601,10.4,20.6,15.5,6.8,1.0,4.2,18.1,18.1,1.8,2.1,3.9,0.102,-1.5,1.2,-0.3,0.8,East
72,Calbert Cheaney\cheanca01,SG,31,UTA,81,2351,9.8,0.514,0.038,0.106,3.9,10.5,7.3,11.7,1.5,0.4,13.7,15.5,1.0,1.7,2.8,0.055999999999999994,-1.2,-0.1,-1.2,0.5,West
73,Chris Childs\childch01,PG,35,NJN,12,106,6.2,0.35200000000000004,0.3,0.15,3.2,2.2,2.7,22.2,4.0,0.7,22.0,11.6,-0.1,0.2,0.1,0.038,-4.5,0.3,-4.2,-0.1,East
74,Doug Christie\chrisdo01,SG,32,SAC,80,2710,15.0,0.59,0.332,0.312,2.5,10.6,6.8,19.3,3.3,0.9,18.5,12.7,4.2,4.7,8.9,0.157,1.3,2.9,4.2,4.2,West
75,Keon Clark\clarkke01,C,27,SAC,80,1780,13.9,0.528,0.009000000000000001,0.284,8.8,17.9,13.6,6.5,1.1,5.6,15.6,14.9,1.3,3.4,4.7,0.127,-2.5,3.6,1.1,1.4,West
76,Speedy Claxton\claxtsp01,PG,24,SAS,30,471,15.9,0.509,0.076,0.39299999999999996,5.7,8.0,6.9,26.9,2.5,1.0,17.1,20.2,0.6,0.6,1.2,0.125,-0.1,0.2,0.0,0.2,West
77,Mateen Cleaves\cleavma01,PG,25,SAC,12,55,-3.7,0.32299999999999995,0.043,0.174,2.1,13.0,7.8,25.7,1.8,0.0,36.1,31.1,-0.4,0.1,-0.4,-0.325,-14.8,-1.0,-15.8,-0.2,West
78,Derrick Coleman\colemde01,C,35,PHI,64,1742,15.4,0.525,0.135,0.34299999999999997,10.0,20.5,15.2,8.0,1.6,3.1,14.3,17.3,2.1,2.4,4.5,0.124,-0.5,1.6,1.1,1.4,East
79,Bimbo Coles\colesbi01,PG,34,TOT,35,691,6.7,0.413,0.19,0.25,1.7,8.0,4.8,16.6,1.3,0.4,13.1,13.8,-0.2,0.2,0.0,0.0,-4.3,-2.0,-6.3,-0.8,NaN
79,Bimbo Coles\colesbi01,PG,34,CLE,21,516,6.0,0.381,0.21,0.28600000000000003,2.1,8.4,5.2,16.6,1.1,0.6,11.8,12.8,-0.2,0.1,-0.1,-0.012,-4.1,-2.0,-6.1,-0.5,East
79,Bimbo Coles\colesbi01,PG,34,BOS,14,175,8.8,0.495,0.14300000000000002,0.163,0.6,6.6,3.6,16.5,1.8,0.0,16.0,16.6,0.0,0.1,0.1,0.036000000000000004,-4.8,-2.1,-6.9,-0.2,East
80,Jason Collier\collija02,C,25,HOU,13,104,15.0,0.488,0.0,0.055999999999999994,13.6,18.4,16.1,1.8,1.0,0.7,5.1,17.3,0.2,0.1,0.3,0.126,-2.3,-3.4,-5.8,-0.1,West
81,Jarron Collins\collija03,C,24,UTA,22,421,8.2,0.53,0.012,0.721,9.6,7.8,8.6,5.2,0.6,1.1,14.4,14.5,0.5,0.2,0.7,0.078,-1.4,-1.4,-2.8,-0.1,West
82,Jason Collins\collija04,C,24,NJN,81,1900,9.9,0.521,0.012,0.698,8.2,13.9,11.1,6.9,1.3,1.7,16.1,12.5,1.7,3.0,4.7,0.11900000000000001,-2.3,1.8,-0.6,0.7,East
83,Chris Crawford\crawfch01,PF,27,ATL,5,38,28.8,0.726,0.231,0.615,9.4,11.5,10.5,5.2,2.8,5.5,10.8,22.3,0.2,0.0,0.2,0.316,5.1,-0.3,4.8,0.1,East
84,Jamal Crawford\crawfja01,PG,22,CHI,80,1992,15.4,0.496,0.3,0.16,1.2,9.0,5.1,28.8,2.0,0.9,13.4,22.2,1.6,1.1,2.8,0.067,0.9,-2.0,-1.0,0.5,East
85,Austin Croshere\croshau01,PF,27,IND,49,633,16.1,0.53,0.33,0.311,7.3,19.9,13.7,14.9,0.5,1.5,10.5,18.9,1.2,0.8,2.0,0.151,0.6,-0.6,0.0,0.3,East
86,John Crotty\crottjo01,PG,33,DEN,12,180,7.6,0.431,0.317,0.366,0.6,9.5,4.9,26.7,0.9,0.0,15.9,14.0,0.0,0.1,0.1,0.031,-4.2,-2.8,-7.0,-0.2,West
87,Eddy Curry\curryed01,C,20,CHI,81,1571,17.5,0.607,0.0,0.501,8.3,16.4,12.4,4.4,0.6,2.9,16.4,23.6,2.3,1.1,3.5,0.107,-1.0,-2.0,-3.0,-0.4,East
88,Michael Curry\currymi01,SF,34,DET,78,1555,5.7,0.474,0.23600000000000002,0.19699999999999998,1.2,8.6,4.8,10.8,1.6,0.2,14.7,9.0,0.2,1.7,2.0,0.06,-3.2,0.9,-2.3,-0.1,East
89,Erick Dampier\dampier01,C,27,GSW,82,1978,15.8,0.5429999999999999,0.004,0.425,13.5,15.7,14.6,4.6,0.7,5.1,15.3,15.7,3.1,1.0,4.1,0.099,-0.2,0.3,0.1,1.1,West
90,Antonio Daniels\daniean01,SG,27,POR,67,872,13.3,0.5720000000000001,0.317,0.409,1.5,8.4,5.0,14.9,2.0,0.8,12.7,13.3,1.6,0.8,2.3,0.128,-0.3,-0.7,-0.9,0.2,West
91,Antonio Davis\davisan01,C,34,TOR,53,1894,14.5,0.483,0.0,0.43700000000000006,7.5,19.3,13.1,11.9,0.6,2.3,13.4,21.3,1.0,1.1,2.2,0.055,-2.0,-0.1,-2.1,0.0,East
92,Baron Davis\davisba01,PG,23,NOH,50,1889,16.9,0.5,0.355,0.16399999999999998,3.4,8.1,5.7,30.5,2.6,0.8,14.1,24.0,2.2,2.2,4.5,0.113,3.0,-0.3,2.7,2.2,East
93,Dale Davis\davisda01,C,33,POR,78,2282,14.5,0.5660000000000001,0.0,0.379,12.3,17.5,14.9,6.4,1.2,2.3,12.2,11.8,4.3,2.6,6.9,0.145,0.6,1.8,2.4,2.5,West
94,Emanual Davis\davisem01,SG,34,ATL,24,340,8.0,0.45,0.33,0.25,1.7,12.3,7.2,17.0,1.9,0.4,20.4,16.5,-0.3,0.2,-0.1,-0.013000000000000001,-3.8,-1.5,-5.3,-0.3,East
95,Hubert Davis\davishu01,SG,32,DET,43,328,8.8,0.484,0.456,0.076,2.1,11.0,6.5,15.1,0.8,0.0,11.9,13.6,0.2,0.3,0.5,0.071,-2.3,-1.5,-3.7,-0.1,East
96,Ricky Davis\davisri01,SG,23,CLE,79,3131,16.1,0.485,0.139,0.316,3.4,10.7,7.0,26.5,2.0,0.8,14.2,27.1,1.5,1.5,3.0,0.046,1.0,-1.4,-0.3,1.3,East
97,Andrew DeClercq\declean01,C,29,ORL,77,1327,11.3,0.562,0.0,0.373,11.9,17.5,14.6,6.2,1.5,2.0,20.5,13.8,1.3,1.3,2.6,0.095,-2.0,0.6,-1.4,0.2,East
98,Tony Delk\delkto01,PG,29,BOS,67,1873,13.7,0.547,0.5429999999999999,0.155,2.4,11.9,7.0,14.0,2.0,0.4,10.3,16.6,2.5,2.1,4.6,0.11699999999999999,0.5,-0.3,0.2,1.0,East
99,Dan Dickau\dickada01,PG,24,ATL,50,515,9.9,0.504,0.359,0.153,2.1,7.2,4.8,28.3,1.4,0.3,22.6,20.9,-0.1,0.1,0.0,0.001,-2.2,-4.1,-6.3,-0.6,East
100,Michael Dickerson\dickemi01,SG,27,MEM,6,87,10.0,0.5529999999999999,0.45799999999999996,0.20800000000000002,1.3,6.4,3.9,14.1,3.0,0.8,18.6,16.7,0.1,0.0,0.1,0.054000000000000006,-0.8,-1.3,-2.1,0.0,West
101,DeSagana Diop\diopde01,PF,21,CLE,80,943,6.7,0.35600000000000004,0.0,0.195,7.3,18.4,12.8,6.9,1.8,6.1,25.1,10.3,-1.4,1.2,-0.2,-0.012,-6.9,3.4,-3.5,-0.3,East
