Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
27,Fred Brown\brownfr01,SG,32,SEA,78,1986,18.3,0.535,0.062,0.201,3,6.6,4.8,19.9,2.1,0.4,10.4,25.8,,3.5,1.8,5.2,0.127,,2.2,-1.8,0.5,1.2
28,Lewis Brown\brownle02,C,25,WSB,2,5,-18.6,0.192,0,1.667,20.9,21.2,21,0,0,0,16.1,49.8,,-0.1,0,-0.1,-0.667,,-24.9,-13.6,-38.4,0
29,Rickey Brown\brownri01,C,22,GSW,45,580,10.9,0.531,0,0.13,9.8,22.1,15.9,4.8,0.7,1.4,15.3,13.8,,0.5,0.4,0.9,0.075,,-2.2,-1,-3.2,-0.2
30,Joe Bryant\bryanjo01,PF,26,SDC,82,2359,12.8,0.53,0.019,0.308,6.9,15.2,10.9,11.1,1.5,0.8,16.4,18.6,,1.7,1.7,3.4,0.069,,-0.8,0.3,-0.5,0.9
31,Quinn Buckner\bucknqu01,PG,26,MIL,82,2384,15.1,0.522,0.006,0.212,4.2,9.5,6.9,21.6,3.8,0.1,18.4,21.1,,1.4,4,5.4,0.108,,0.3,1.3,1.6,2.2
32,Tom Burleson\burleto01,C,28,ATL,31,363,8.5,0.436,0,0.414,13.7,16,14.9,4.6,1.1,3.1,17,16.1,,-0.2,0.3,0.2,0.021,,-3.5,0,-3.6,-0.1
33,Don Buse\busedo01,SG,30,IND,58,1095,11.7,0.471,0.202,0.226,1.8,6.7,4.2,16.4,3.2,0.4,10.7,12.9,,0.9,1.2,2,0.089,,-1,0.1,-1,0.3
34,Marty Byrnes\byrnema01,SF,24,DAL,72,1360,13.6,0.539,0.044,0.348,6,8.9,7.4,12.8,1,0.7,10.5,17.9,,2.1,0.2,2.3,0.081,,0.1,-1.8,-1.7,0.1
35,Mack Calvin\calvima01,PG,33,CLE,21,128,11,0.478,0.128,0.897,1.6,9.1,5.2,27.4,1.9,0,23.8,22.4,,-0.1,0.1,0,-0.01,,-3.8,-3.1,-6.9,-0.2
36,Austin Carr\carrau01,SG,32,TOT,47,657,6.2,0.403,0.03,0.231,3.5,6.4,4.9,11.7,1.1,0.2,13.7,18.4,,-0.9,0.5,-0.4,-0.029,,-4.8,-0.9,-5.7,-0.6
36,Austin Carr\carrau01,SG,32,DAL,8,77,-1.9,0.269,0,0.143,5.7,7.7,6.6,16.3,0.6,0,23.2,21,,-0.4,0,-0.4,-0.236,,-9.9,-3,-12.9,-0.2
36,Austin Carr\carrau01,SG,32,WSB,39,580,7.2,0.421,0.034,0.243,3.2,6.2,4.7,11.1,1.1,0.2,12.3,18,,-0.5,0.5,0,-0.001,,-4.2,-0.6,-4.7,-0.4
37,Kenny Carr\carrke01,PF,25,CLE,81,2615,17,0.56,0.004,0.446,10.5,25.6,17.6,10.2,1.4,0.9,17.4,20.4,,3.3,2.6,5.8,0.107,,0.4,0.4,0.8,1.9
38,M.L. Carr\carrml01,SF,30,BOS,41,655,11.6,0.505,0.065,0.31,4.7,9.5,7.2,11.3,2.2,1.5,16.1,18.2,,0.2,0.9,1.1,0.082,,-1.8,0.5,-1.3,0.1
