Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
267,George Karl\karlge01,PG,24,SAS,29,251,9.5,0.432,,0.575,1.7,5.3,3.5,21.8,1.7,0,,,-0.3,0.1,-0.2,-0.037,-3.8,-3.5,-7.3,-0.3
268,Phil Jackson*\jacksph01,PF,31,NYK,76,1033,9.4,0.484,,0.306,7.8,15.3,11.6,9.9,1.4,0.9,,,-0.1,1,0.9,0.043,-2.7,0.9,-1.8,0.1
269,Jim Ard\ardji01,C,28,BOS,63,969,9.1,0.419,,0.299,7.9,22,15,7.1,0.8,1.4,,,-0.6,1.4,0.8,0.039,-5.6,1,-4.6,-0.6
270,Rudy Hackett\hackeru01,PF,23,TOT,6,46,8.9,0.433,,1.4,8.3,19.8,13.9,8,0,1.1,,,-0.1,0,0,-0.024,-5.5,-3.4,-8.9,-0.1
271,Chuck Terry\terrych01,SF,26,NYN,61,1075,8.8,0.44,,0.195,3.9,9.9,6.7,5.5,2.5,0.5,,,-0.5,1.2,0.7,0.029,-5,0.4,-4.6,-0.7
272,Chuckie Williams\willich03,SG,23,CLE,22,65,8.8,0.354,,0.255,4.5,1.6,3.1,16.4,0.7,0,,,-0.2,0,-0.2,-0.137,-4.8,-6.7,-11.5,-0.2
273,Roger Brown\brownro02,C,26,DET,43,322,8.7,0.445,,0.464,10,19,14.5,4.2,2.1,2.9,,,-0.2,0.4,0.2,0.029,-4.5,1.8,-2.6,-0.1
274,Dwight Davis\davisdw01,PF,27,GSW,33,552,8.6,0.511,,0.581,6.2,11.2,8.7,6.2,0.9,0.8,,,0.2,0.4,0.6,0.049,-2.9,-0.9,-3.8,-0.2
275,Henry Dickerson\dickehe01,PG,25,ATL,6,63,8.5,0.548,,0.667,0,3.4,1.7,23.7,0.7,0,,,0,0,0,0,-3.1,-4.4,-7.5,-0.1
276,Dale Schlueter\schluda01,C,31,PHO,39,337,8.5,0.409,,0.431,9.6,15.9,12.8,14.3,1.1,1.3,,,-0.4,0.4,0.1,0.009,-4.4,1,-3.4,-0.1
277,Louie Nelson\nelsolo01,SG,25,SAS,4,57,8.4,0.527,,0.5,3.7,8.9,6.3,6.4,1.5,0,,,0,0,0,0.032,-3.4,-2,-5.5,0
278,Dean Meminger\meminde01,SG,28,NYK,32,254,8,0.466,,0.639,5.1,5.7,5.4,13.2,1.4,0.2,,,0,0.1,0.2,0.032,-3.7,-0.2,-3.9,-0.1
279,Goo Kennedy\kennego01,SF,27,HOU,32,277,7.8,0.528,,0.138,5.7,14.1,10.1,2.8,1.2,1,,,0.1,0.1,0.3,0.045,-3.7,-0.7,-4.4,-0.2
280,Fred Foster\fostefr01,SF,30,BUF,59,689,7.7,0.428,,0.178,4.8,6.3,5.6,9.8,1,0,,,-0.4,0.2,-0.2,-0.017,-4.7,-2.5,-7.2,-0.9
281,Tom Van Arsdale\vanarto01,SF,33,PHO,77,1425,7.7,0.484,,0.367,3.6,10.3,7,6.3,0.6,0.1,,,0,1.1,1.1,0.037,-4.8,-1.1,-5.9,-1.4
282,Jim Barnett\barneji02,SG,32,PHI,16,231,7.4,0.459,,0.281,3.2,2.9,3,13,0.8,0,,,0,0.1,0.1,0.014,-4.5,-2.7,-7.2,-0.3
283,Mike D'Antoni\dantomi01,SG,25,SAS,2,9,7.2,0.387,,0.667,0,22.6,11.4,26.8,0,0,,,0,0,0,-0.185,-5.4,-3,-8.4,0
284,Bobby Wilson\wilsobo03,SG,26,BOS,25,131,6.8,0.379,,0.22,2.3,4.5,3.4,14.7,1,0,,,-0.2,0.1,-0.1,-0.055,-6.3,-3.3,-9.6,-0.3
285,Clyde Mayes\mayescl01,PF,23,TOT,9,52,6.7,0.294,,0.368,19.3,11.6,15.4,7.7,0,4,,,-0.2,0,-0.1,-0.109,-6.7,-3.5,-10.2,-0.1
286,Marv Roberts\roberma01,SF,27,LAL,28,209,6,0.369,,0.079,4.5,7.6,6.1,11.4,0.9,0.5,,,-0.3,0.1,-0.2,-0.051,-6,-2.1,-8.1,-0.3
287,Mike Riordan\riordmi01,SF,31,WSB,49,289,5.6,0.393,,0.16,2.5,7,4.8,9,0.5,0.4,,,-0.3,0.2,-0.1,-0.024,-6.5,-1.8,-8.4,-0.5
288,Norton Barnhill\barnhno01,SG,23,SEA,4,10,4.7,0.333,,0,19.8,10.7,15.4,15,0,0,,,0,0,0,-0.198,-3,-4.2,-7.2,0
289,Glenn McDonald\mcdongl01,SF,24,MIL,9,79,4.6,0.266,,0.118,10.4,5.3,7.9,10.7,2.2,0,,,-0.3,0,-0.2,-0.145,-6.8,-2,-8.8,-0.1
290,Keith Starr\starrke01,SG,22,CHI,17,65,3.7,0.281,,0.083,9.5,6.5,8,12.7,0.7,0,,,-0.2,0,-0.2,-0.111,-7.5,-2.2,-9.8,-0.1
291,Jimmy Jones\jonesji01,PG,32,WSB,3,33,3,0.279,,0.444,3.2,9.1,6.2,3.7,2.7,0,,,-0.1,0,-0.1,-0.08,-9.1,0.1,-9,-0.1
292,Ron Davis\davisro01,SF,22,ATL,7,67,2.1,0.246,,0.371,3.1,8.1,5.6,4.2,4.8,0,,,-0.4,0.1,-0.4,-0.256,-12,-1.6,-13.6,-0.2
293,Allen Murphy\murphal01,SG,24,LAL,2,18,1.8,0.309,,1.4,17.4,5.5,11.3,0,0,0,,,-0.1,0,-0.1,-0.229,-8.7,-8.3,-16.9,-0.1
294,Darrell Elston\elstoda01,SG,24,IND,5,40,-1.6,0.168,,0.143,2.4,12.5,7.3,5.9,1.1,0,,,-0.2,0,-0.2,-0.218,-12.9,-2.5,-15.4,-0.1
295,Willie Smith\smithwi02,PG,23,CHI,2,11,-3.8,0,,0,0,0,0,0,0,0,,,0,0,0,-0.067,-12.1,-0.1,-12.2,0
